Title,Abstract,Authors,Room
Hijra Community-Based Organizations’ Use of Social Media in India: Understanding Community-Building and Representation through Facebook,,Delfi Chinappan (Queensland University of Technology),New Campus
Predicting Antecedents of Wearable Healthcare Technology Acceptance by Elderly: A Combined SEM-Neural Network Approach,,Shamim Talukder (Huazhong University of Science and Technology),New Campus
Female Doctoral Researchers from India and China in German Computer Science,,Katharina Losch (Ostfalia University of Applied Sciences),New Campus
"Broadband and Inequality: Implications from Rural Households in Rajasthan,India",,Anushruti Vagrani (IIT Delhi),New Campus
"Symbiotic Relationships in Sharing Economy: An Exploratory Study of Transportation Digital Platforms in New Delhi, India",,Ravinder Kumar Verma (IIT Delhi),New Campus
A Multi-Objective Optimization Framework for Task Automation,,Arvind Upreti (IIIT Bangalore),New Campus
Perceptions of Opportunities and Barriers in the Use of Mobile Phones by Women Community Health Workers,,Manjula Venkataraghavan (Manipal University),New Campus
Gender and Development in the Digital Social Enterprise,,Oindrila Matilal (IIIT Bangalore),New Campus
“Seeing the State” through Open Government Data (OGD),,Rajesh Hanbal (IIIT Bangalore),New Campus
Family Online and Offline Participation: Opportunities and Challenges in Improving Neighborhood’s Environment,,Mehri Shahzeidi (Alzahra University),New Campus
Online Petition: A Country-level Assessment from Avaaz.org,,Riri Kusumarani (Korea Advanced Institute of Science and Technology),New Campus
The Impact of ICT4D in Advancing Community Projects towards Positive Outcome: A Case of Neighbourhood Farm,,Yodit Zegeye (University of The Western Cape),New Campus
Indigenous-Tailored Information Technology Education,,Richard Caneba (Pennsylvania State University,New Campus
Understanding Public Harassment Experiences on Social Media and Methodological Reflections on Field Research in Bangladesh,,Fayika Farhat Nova (Marquette University),New Campus
Phone-Based Systems to Support Maternal Mental Health in Rwanda,,Vikram Kamath Cannanure (Carnegie Mellon University),New Campus
Virtual Intermediaries in Ecologies of Care,,Karthik Bhat (Georgia Tech),New Campus
"Feminist Technologies in India: A Collective, Situated Approach to Bridging the Gender Digital Divide",,Palashi Vaghela (Cornell University),New Campus
Designing for the Parenting Actor-Network of Latino Immigrants,,Marisol Wong-Villacres (Georgia Tech),New Campus
Makerspaces Supporting Rural Repair,,Esther Jang (University of Washington),New Campus
Social Construction of Information and Communication Technologies: A Study of the Selected Departments of the Government of Assam,,Tripti Das (IIT Guwahati),New Campus
Bibliometric Analysis: Information Technology for Development (IT4D) Journal in the period 1986 to 2018,,Prashant Sinha (IIM Ahmedabad),New Campus
Crafting and Building Social Connections: Supporting Trafficking Survivors in Nepal,,Aakash Gautam (Virginia Tech),New Campus
